1;SERVICOS PRELIMINARES
2;MOVIMENTO DE TERRA
3;SERVIÇOS AUXILIARES
4;OBRAS DE DRENAGEM
5;ARGAMASSAS
6;FUNDAÇÕES E ESTRUTURAS
7;CONTENÇÕES
8;PAREDES E PAINÉIS
9;ESQUADRIAS E FERRAGENS
10;VIDROS
11;COBERTURA
12;IMPERMEABILIZAÇÃO
13;PROTEÇÃO TÉRMICA
14;REVESTIMENTOS
15;PISOS
16;INSTALAÇÕES HIDRÁULICAS
17;SERVIÇOS OPERACIONAIS
18;INST. ELÉTRICAS, TELEFONIA, LÓGICA, SOM E SISTEMAS DE CONTROLE
19;PINTURA
20;PAVIMENTAÇÃO DO SISTEMA VIÁRIO
21;CONSERVAÇÃO DO SISTEMA VIÁRIO
22;OBRAS PORTUÁRIAS
23;TRANSPORTES PARA OBRAS RODOVIÁRIAS
24;SINALIZAÇÃO DO SISTEMA VIÁRIO
25;URBANIZAÇÃO/PAISAGISMO
26;MUROS E FECHAMENTOS
27;SISTEMA DE AR CONDICIONADO
28;ALUGUEL DE EQUIPAMENTOS
29;ACESSIBILIDADE À EDIFICAÇÕES E ESPAÇOS
30;SERVIÇOS DIVERSOS